n r0 start_temp cooling_rate energy
3 4.242640687119286 1500 10 17.12272072966138
3 4.242640687119286 2000 10 17.1738988051544
2 4.242640687119286 1000 24 17.23614824917178
1 4.242640687119286 3000 24 17.24401680162748
2 4.242640687119286 3000 21 17.132758340697563
3 4.242640687119286 1000 21 17.261284274230555
1 4.242640687119286 1000 24 17.257088202519853
3 4.242640687119286 2000 7 17.189140820973506
0 4.242640687119286 1500 24 17.236480956882616
2 4.242640687119286 3000 13 17.122778660402638
0 4.242640687119286 2500 24 17.15433430187446
0 4.242640687119286 3000 24 17.137534785918476
3 4.242640687119286 2500 10 17.26361211188557
2 4.242640687119286 1500 19 17.173354057859733
3 4.242640687119286 3000 10 17.151269607913544
2 4.242640687119286 2000 19 17.263816486046558
3 4.242640687119286 1000 13 17.111784092796626
3 4.242640687119286 2500 7 17.111793192617814
3 4.242640687119286 3000 7 17.131982072830013
2 4.242640687119286 1500 37 17.17313732647694
4 4.242640687119286 1000 4 17.16956612220344
2 4.242640687119286 2500 19 17.164586100053306
2 4.242640687119286 2000 37 17.248337923139662
3 4.242640687119286 1500 16 17.22598292097487
4 4.242640687119286 1500 4 17.210448238295264
4 4.242640687119286 2000 4 17.15252096790491
3 4.242640687119286 2500 16 17.240847024092783
3 4.242640687119286 2000 16 17.164274659224667
4 4.242640687119286 2500 4 17.25569374516231
3 4.242640687119286 3000 16 17.215188779158986
4 4.242640687119286 1000 10 17.132913692151092
3 4.242640687119286 1500 21 17.199220200445115
4 4.242640687119286 1500 10 17.261799958729203
4 4.242640687119286 1000 7 17.15490294422808
3 4.242640687119286 2000 21 17.14157153523322
2 4.242640687119286 3000 19 17.25029741466266
3 4.242640687119286 2000 13 17.122499551922893
4 4.242640687119286 2000 10 17.20849676326692
2 4.242640687119286 1500 24 17.164331965482468
3 4.242640687119286 1500 13 17.1117978406724
2 4.242640687119286 2000 24 17.239274393924255
3 4.242640687119286 2500 21 17.22409640024888
4 4.242640687119286 1500 7 17.200675391672995
4 4.242640687119286 2000 7 17.14441556032782
4 4.242640687119286 2500 10 17.157412162627484
3 4.242640687119286 2500 13 17.236125947784725
4 4.242640687119286 2500 7 17.153087149669016
4 4.242640687119286 1000 16 17.142117517023898
3 4.242640687119286 3000 13 17.191597062314976
3 4.242640687119286 1000 19 17.155709359887645
2 4.242640687119286 2500 37 17.214410335002093
3 4.242640687119286 1000 37 17.11178678976964
2 4.242640687119286 3000 37 17.13109690676927
4 4.242640687119286 3000 4 17.200781748169902
4 4.242640687119286 1500 16 17.252318148839947
4 4.242640687119286 2000 16 17.197780799094787
3 4.242640687119286 3000 21 17.10129802712131
1 4.242640687119286 2000 30 17.101264147263088
0 4.242640687119286 2000 30 17.220589968390257
1 4.242640687119286 1500 30 17.258368701579457
4 4.242640687119286 1500 21 17.146567769101054
2 4.242640687119286 1000 30 17.264473596424843
4 4.242640687119286 1000 21 17.21857749519775
0 4.242640687119286 1000 30 17.18731673484704
4 4.242640687119286 1000 13 17.168512515262073
0 4.242640687119286 1500 30 17.183956868039356
1 4.242640687119286 1000 30 17.111797206976767
2 4.242640687119286 2500 24 17.122985271614645
1 4.242640687119286 3000 30 17.253988397462532
1 4.242640687119286 2500 30 17.164292403569732
0 4.242640687119286 2500 30 17.172226791348628
0 4.242640687119286 3000 30 17.15250664907455
4 4.242640687119286 3000 10 17.141296380456787
2 4.242640687119286 3000 24 17.111785165641468
4 4.242640687119286 1500 13 17.225809303123533
4 4.242640687119286 2000 21 17.176941366248982
3 4.242640687119286 1500 19 17.245936113628836
4 4.242640687119286 3000 7 17.111796415025395
3 4.242640687119286 1000 24 17.132030298939064
4 4.242640687119286 2000 13 17.12274134941766
3 4.242640687119286 2500 19 17.12269922956549
3 4.242640687119286 2000 19 17.16474756265886
3 4.242640687119286 1500 37 17.176346765511248
4 4.242640687119286 2500 16 17.179537313611604
3 4.242640687119286 3000 19 17.222653673318028
4 4.242640687119286 2500 13 17.203274007395606
3 4.242640687119286 2000 37 17.111788134017317
3 4.242640687119286 2500 37 17.185028718504014
4 4.242640687119286 3000 16 17.271130832775953
2 4.242640687119286 1500 30 17.165926024091306
4 4.242640687119286 2500 21 17.22682599403739
4 4.242640687119286 1000 19 17.176681705099412
4 4.242640687119286 3000 21 17.15345854109747
2 4.242640687119286 2000 30 17.26702909298469
3 4.242640687119286 1500 24 17.11178197753373
3 4.242640687119286 2000 24 17.210676129113903
3 4.242640687119286 3000 37 17.101271062656068
4 4.242640687119286 3000 13 17.136682649492236
4 4.242640687119286 1500 19 17.10132298912832
3 4.242640687119286 2500 24 17.262177082071847
4 4.242640687119286 1000 37 17.23733935451275
4 4.242640687119286 1500 37 17.20559853227502
4 4.242640687119286 2000 19 17.156634072985767
4 4.242640687119286 2000 37 17.239762550391678
3 4.242640687119286 3000 24 17.19382638024919
4 4.242640687119286 1500 24 17.177840285003256
4 4.242640687119286 1000 24 17.234994808757516
2 4.242640687119286 2500 30 17.15566927860569
3 4.242640687119286 1000 30 17.12294866656305
4 4.242640687119286 2500 19 17.17935673658075
2 4.242640687119286 3000 30 17.152637312285453
4 4.242640687119286 3000 19 17.259123262559243
4 4.242640687119286 2000 24 17.130695291891914
4 4.242640687119286 2500 37 17.270758017637718
4 4.242640687119286 3000 37 17.111804085667472
3 4.242640687119286 1500 30 17.123270797841737
4 4.242640687119286 2500 24 17.151055059304845
3 4.242640687119286 2000 30 17.18065303161987
3 4.242640687119286 2500 30 17.205432432570753
4 4.242640687119286 3000 24 17.194198000250843
3 4.242640687119286 3000 30 17.265639382067835
4 4.242640687119286 1000 30 17.21426614344354
4 4.242640687119286 1500 30 17.251111597268725
4 4.242640687119286 2000 30 17.141225206182774
4 4.242640687119286 2500 30 17.1013268657765
4 4.242640687119286 3000 30 17.161164628047608
