venv: /home/niflheim/s215142/thesis-venv/bin/activate
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:   76 18:43:39       12.894652        0.252170
BFGS:   95 18:43:39       12.816892        0.255058
BFGS:   77 18:43:39       12.901254        0.252773
BFGS:   96 18:43:39       12.822429        0.255855
BFGS:   78 18:43:39       12.894650        0.252170
BFGS:   97 18:43:39       12.816873        0.255052
BFGS:   79 18:43:39       12.891864        0.251612
BFGS:   98 18:43:39       12.816477        0.254236
BFGS:   80 18:43:39       12.894654        0.252170
BFGS:   99 18:43:40       12.816777        0.255023
BFGS:   81 18:43:40       12.901263        0.252773
BFGS:  100 18:43:40       12.821774        0.255784
BFGS:   82 18:43:40       12.894652        0.252170
BFGS:   83 18:43:40       12.891862        0.251612
BFGS:   84 18:43:40       12.894656        0.252171
BFGS:   85 18:43:40       12.901271        0.252773
BFGS:   86 18:43:40       12.894655        0.252171
BFGS:   87 18:43:40       12.891860        0.251613
BFGS:   88 18:43:40       12.894658        0.252171
BFGS:   89 18:43:41       12.901280        0.252774
BFGS:   90 18:43:41       12.894657        0.252171
BFGS:   91 18:43:41       12.891858        0.251614
BFGS:   92 18:43:41       12.894660        0.252172
BFGS:   93 18:43:41       12.901289        0.252774
BFGS:   94 18:43:41       12.894659        0.252172
BFGS:   95 18:43:41       12.891856        0.251614
BFGS:   96 18:43:41       12.894663        0.252172
BFGS:   97 18:43:41       12.901297        0.252775
BFGS:   98 18:43:42       12.894661        0.252172
BFGS:   99 18:43:42       12.891854        0.251615
BFGS:  100 18:43:42       12.894665        0.252173
Heat bath temp: 2000
Heat bath temp: 1500
Heat bath temp: 1000
Heat bath temp: 500
Heat bath temp: 0
      Step     Time          Energy          fmax
BFGS:    0 18:45:02       16.615178        0.267758
BFGS:    1 18:45:03       16.615052        0.267703
BFGS:    2 18:45:03       16.614209        0.261845
BFGS:    3 18:45:03       16.636745        0.257108
BFGS:    4 18:45:03       16.677318        0.252733
BFGS:    5 18:45:03       16.730297        0.248673
BFGS:    6 18:45:03       16.790588        0.244833
BFGS:    7 18:45:04       16.852390        0.241119
BFGS:    8 18:45:04       16.902177        0.237977
BFGS:    9 18:45:04       16.927927        0.236233
BFGS:   10 18:45:04       16.936633        0.235625
BFGS:   11 18:45:04       16.938046        0.235524
BFGS:   12 18:45:04       16.935913        0.235680
BFGS:   13 18:45:05       16.929732        0.236121
BFGS:   14 18:45:05       16.922977        0.236554
BFGS:   15 18:45:05       16.917752        0.236854
BFGS:   16 18:45:05       16.913697        0.237051
BFGS:   17 18:45:05       16.911533        0.237140
BFGS:   18 18:45:05       16.911516        0.237129
BFGS:   19 18:45:06       16.911706        0.237087
BFGS:   20 18:45:06       16.911546        0.236918
BFGS:   21 18:45:06       16.909678        0.236764
BFGS:   22 18:45:06       16.905319        0.236646
BFGS:   23 18:45:06       16.898156        0.236512
BFGS:   24 18:45:06       16.888395        0.237144
BFGS:   25 18:45:07       16.877168        0.238289
BFGS:   26 18:45:07       16.867682        0.239294
BFGS:   27 18:45:07       16.869622        0.238945
